recording,temperature,humidity,condition,pressure
ebc39e6c-2770-4821-a747-c174a7855b30,13,63.5,sunny,1003.9
ebff48bd-b1c8-44e3-af35-0941b6c405b1,13,63.5,sunny,1003.9
2383ea87a-3396-400b-9497-ee6f9ad7c093.csv,16.1,71.7,cloudy,996.7
34414785-1f38-4ff1-a709-e3bd0f5e7d42.csv,17.8,87.5,rainy,1001.5
ab0a6b0c-b0f2-4bda-8806-a4e39175f027.csv,17.8,87.5,rainy,1001.5
fa94190b-92d3-484c-8133-744b797dfc81.csv,20.6,66.8,sunny,1007.7
6c516a60-1d5e-4d7c-a1dd-158099033fe7.csv,14.7,89.0,rainy,1003
8bb7b2a8-0d9b-4aaa-ad3a-c15fedb2ad31.csv,14.7,89.0,rainy,1003
a43187d2-c663-42c5-8da5-750dbb9b72bd.csv,16.7,75.3,cloudy,1003
8f0ce2c4-d123-4c1c-aac2-61844abfa8ca.csv,16.7,75.3,cloudy,1003
